Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LUMA_Project_Suite,Chrome 131.0.0.0,,,14-01-2025 17:25:32,14-01-2025 17:29:26,3m - 53.970s,FAILED
,,,,,,,
Test Cases/Secnario_1,Chrome 131.0.0.0,,,14-01-2025 17:25:32,14-01-2025 17:26:35,1m - 2.683s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,14-01-2025 17:25:32,14-01-2025 17:25:40,7.718s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 131.0.0.0,,,14-01-2025 17:25:40,14-01-2025 17:25:40,0.095s,PASSED
navigateToUrl(URL),Chrome 131.0.0.0,,,14-01-2025 17:25:40,14-01-2025 17:26:14,33.947s,PASSED
delay(2),Chrome 131.0.0.0,,,14-01-2025 17:26:14,14-01-2025 17:26:16,2.033s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Home Page/a_Create an Account""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:26:16,14-01-2025 17:26:16,0.343s,PASSED
"click(findTestObject(""Object Repository/Secnario_1/Page_Home Page/a_Create an Account""))",Chrome 131.0.0.0,,,14-01-2025 17:26:16,14-01-2025 17:26:18,1.812s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_First Name_firstname""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:26:18,14-01-2025 17:26:19,0.354s,PASSED
"setText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_First Name_firstname""), FirstName)",Chrome 131.0.0.0,,,14-01-2025 17:26:19,14-01-2025 17:26:20,1.406s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_Last Name_lastname""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:26:20,14-01-2025 17:26:20,0.286s,PASSED
"setText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_Last Name_lastname""), LastName)",Chrome 131.0.0.0,,,14-01-2025 17:26:20,14-01-2025 17:26:21,0.613s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_Email_email""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:26:21,14-01-2025 17:26:22,1.209s,PASSED
"setText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_Email_email""), Email)",Chrome 131.0.0.0,,,14-01-2025 17:26:22,14-01-2025 17:26:23,0.578s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_Password_password""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:26:23,14-01-2025 17:26:23,0.472s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_Password_password""), Password)",Chrome 131.0.0.0,,,14-01-2025 17:26:23,14-01-2025 17:26:24,0.393s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_Confirm Password_password_confirmation""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:26:24,14-01-2025 17:26:24,0.612s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_Confirm Password_password_confirmation""), Password)",Chrome 131.0.0.0,,,14-01-2025 17:26:24,14-01-2025 17:26:24,0.319s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/span_Create an Account""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:26:24,14-01-2025 17:26:25,0.475s,PASSED
"click(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/span_Create an Account""))",Chrome 131.0.0.0,,,14-01-2025 17:26:25,14-01-2025 17:26:29,4.114s,PASSED
delay(4),Chrome 131.0.0.0,,,14-01-2025 17:26:29,14-01-2025 17:26:33,4.012s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_My Account/div_Thank you for registering with Main Web_e69dd7""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:26:33,14-01-2025 17:26:33,0.281s,PASSED
"verifyElementText(findTestObject(""Object Repository/Secnario_1/Page_My Account/div_Thank you for registering with Main Web_e69dd7""), ""Thank you for registering with Main Website Store."")",Chrome 131.0.0.0,,,14-01-2025 17:26:33,14-01-2025 17:26:34,0.281s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 131.0.0.0,,,14-01-2025 17:26:34,14-01-2025 17:26:35,0.884s,PASSED
,,,,,,,
Test Cases/Scenario_2,Chrome 131.0.0.0,,,14-01-2025 17:26:35,14-01-2025 17:27:16,41.692s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,14-01-2025 17:26:35,14-01-2025 17:26:36,1.600s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 131.0.0.0,,,14-01-2025 17:26:36,14-01-2025 17:26:36,0.058s,PASSED
navigateToUrl(URL),Chrome 131.0.0.0,,,14-01-2025 17:26:36,14-01-2025 17:26:46,9.675s,PASSED
delay(2),Chrome 131.0.0.0,,,14-01-2025 17:26:46,14-01-2025 17:26:48,2.018s,PASSED
